City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,mahebourg,MU,72.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
1,namibe,AO,71.8,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
4,shache,CN,76.5,overcast clouds,38.4167,77.2406,Delong Hotel
25,puerto ayora,EC,75.54,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
29,otukpo,NG,78.89,scattered clouds,7.1913,8.1329,Queen s Hotel
34,virden,US,71.1,broken clouds,39.5009,-89.7679,Virden Nail Spa
45,rikitea,PF,75.11,overcast clouds,-23.1203,-134.9692,Pension Maro'i
47,vanimo,PG,78.53,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
48,caravelas,BR,75.07,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
51,sao filipe,CV,74.16,overcast clouds,14.8961,-24.4956,Hotel Xaguate
55,medicine hat,CA,75.85,clear sky,50.0501,-110.6683,Sun Dek Motel
57,sibolga,ID,75.42,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
61,marataizes,BR,73.74,overcast clouds,-21.0433,-40.8244,Ed. Barra Shopping
63,arraial do cabo,BR,75.06,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
64,pontalina,BR,77.0,overcast clouds,-17.525,-49.4472,Hotel Entre Rios
73,harper,LR,78.53,moderate rain,4.375,-7.7169,Screensaver
76,pontianak,ID,75.18,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
78,dingle,PH,78.84,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
80,machala,EC,75.51,scattered clouds,-3.2667,-79.9667,Hotel Regal
83,ajdabiya,LY,76.78,clear sky,30.7554,20.2263,Almadina Hotel
88,meadow lake,US,76.44,broken clouds,34.8014,-106.5436,JKL Inc. R.V Park and Storage
89,vila velha,BR,76.95,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
94,bandarban,BD,75.51,broken clouds,22.1965,92.2262,Hotel Plaza
96,avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
98,komsomolskiy,UZ,71.26,broken clouds,40.4272,71.7189,Ikathouse
108,meulaboh,ID,75.2,overcast clouds,4.1363,96.1285,Kost Pria
113,batouri,CM,72.45,broken clouds,4.4333,14.3667,Hotel Hollywood
117,blytheville,US,75.24,clear sky,35.9273,-89.919,Days Inn by Wyndham Blytheville
126,naze,JP,72.52,light rain,28.3667,129.4833,奄美ポートタワーホテル
134,atuona,PF,79.61,clear sky,-9.8,-139.0333,Villa Enata
149,saint-philippe,RE,71.22,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
155,manta,EC,76.46,overcast clouds,-0.95,-80.7333,Balandra Hotel
171,tabou,CI,78.76,light rain,4.423,-7.3528,hotêl doufoulougou
181,erzin,TR,70.0,clear sky,36.9559,36.2,Artemis Otel
188,surab,PK,71.82,clear sky,28.4914,66.2585,Bismillah Hotel
189,trairi,BR,77.76,clear sky,-3.2778,-39.2689,janelas do mar
190,najran,SA,78.31,clear sky,17.4924,44.1277,محمد هادي ال فطيح
202,buchanan,LR,75.16,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
203,shimoda,JP,72.16,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
210,puerto baquerizo moreno,EC,73.36,clear sky,-0.9,-89.6,Hotel los Algarrobos
213,mount pleasant,US,72.12,overcast clouds,32.7941,-79.8626,Best Western Patriots Point
215,cabinda,AO,77.68,broken clouds,-5.55,12.2,Hotel Maiombe
