,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,mahebourg,-20.4081,57.7,72.25,83,19,8.86,MU,few clouds
1,namibe,-15.1961,12.1522,71.8,65,16,3.13,AO,few clouds
2,nanortalik,60.1432,-45.2371,38.64,83,19,19.37,GL,few clouds
3,vaini,-21.2,-175.2,69.96,94,90,6.91,TO,light rain
4,shache,38.4167,77.2406,76.5,27,100,7.38,CN,overcast clouds
5,tiksi,71.6872,128.8694,34.09,90,67,8.25,RU,broken clouds
6,east london,-33.0153,27.9116,56.82,64,81,8.23,ZA,broken clouds
7,catamarca,-28.4696,-65.7852,61.59,50,0,9.8,AR,clear sky
8,cape town,-33.9258,18.4232,56.12,94,82,3.51,ZA,broken clouds
9,thompson,55.7435,-97.8558,61.75,30,38,4.43,CA,scattered clouds
10,nadym,65.5333,72.5167,36.82,78,72,9.91,RU,broken clouds
11,new norfolk,-42.7826,147.0587,38.75,89,53,3.33,AU,broken clouds
12,caluquembe,-13.7833,14.6833,57.49,30,0,3.2,AO,clear sky
13,ostrovnoy,68.0531,39.5131,40.8,83,89,13.94,RU,overcast clouds
14,saint george,37.1041,-113.5841,95.47,10,1,11.99,US,clear sky
15,pitea,65.3172,21.4794,55.49,57,100,10.83,SE,light rain
16,ribeira grande,38.5167,-28.7,64.51,83,71,9.98,PT,broken clouds
17,longyearbyen,78.2186,15.6401,33.64,80,90,3.44,SJ,overcast clouds
18,ushuaia,-54.8,-68.3,28.06,100,75,5.75,AR,light snow
19,jamestown,42.097,-79.2353,60.39,51,90,9.22,US,overcast clouds
20,sailana,23.4667,74.9167,81.19,62,1,14.36,IN,clear sky
21,kaeo,-35.1,173.7833,57.33,97,80,19.8,NZ,broken clouds
22,barreirinha,-2.7933,-57.07,82.18,67,81,1.3,BR,broken clouds
23,salinas,36.6777,-121.6555,94.01,53,1,16.11,US,clear sky
24,punta arenas,-53.15,-70.9167,33.12,69,26,7.74,CL,scattered clouds
25,puerto ayora,-0.7393,-90.3518,75.54,84,18,8.01,EC,few clouds
26,newburgh,41.5034,-74.0104,51.51,93,90,1.01,US,moderate rain
27,port elizabeth,-33.918,25.5701,59.09,71,97,11.18,ZA,overcast clouds
28,albany,42.6001,-73.9662,48.51,93,100,6.44,US,moderate rain
29,otukpo,7.1913,8.1329,78.89,81,50,8.72,NG,scattered clouds
30,mataura,-46.1927,168.8643,49.48,98,100,2.84,NZ,overcast clouds
31,kulhudhuffushi,6.6221,73.07,83.12,74,79,19.48,MV,broken clouds
32,shingu,33.7333,135.9833,63.91,65,0,4.34,JP,clear sky
33,chokurdakh,70.6333,147.9167,61.43,31,16,12.33,RU,few clouds
34,virden,39.5009,-89.7679,71.1,45,76,3.87,US,broken clouds
35,sorland,67.667,12.6934,46.47,93,100,14.38,NO,overcast clouds
36,torbay,47.6666,-52.7314,56.88,66,62,5.93,CA,broken clouds
37,ponta do sol,32.6667,-17.1,65.12,55,20,7.0,PT,few clouds
38,saskylakh,71.9167,114.0833,37.35,85,67,3.27,RU,broken clouds
39,cockburn town,21.4612,-71.1419,80.35,81,16,18.19,TC,few clouds
40,busselton,-33.65,115.3333,52.09,67,99,14.34,AU,overcast clouds
41,kapaa,22.0752,-159.319,84.52,62,20,8.39,US,few clouds
42,carnarvon,-24.8667,113.6333,53.67,100,50,6.91,AU,scattered clouds
43,castro,-24.7911,-50.0119,56.23,99,100,2.51,BR,overcast clouds
44,orangeville,43.9168,-80.0997,64.8,49,15,4.36,CA,few clouds
45,rikitea,-23.1203,-134.9692,75.11,70,97,12.41,PF,overcast clouds
46,pangody,65.85,74.4859,37.36,71,85,13.0,RU,overcast clouds
47,vanimo,-2.6741,141.3028,78.53,89,98,6.13,PG,overcast clouds
48,caravelas,-17.7125,-39.2481,75.07,86,9,6.29,BR,clear sky
49,haines junction,60.7522,-137.5108,50.88,65,99,6.6,CA,overcast clouds
50,acapulco,16.8634,-99.8901,89.42,62,75,9.13,MX,broken clouds
51,sao filipe,14.8961,-24.4956,74.16,75,86,6.85,CV,overcast clouds
52,kieta,-6.2167,155.6333,81.27,82,43,4.12,PG,light rain
53,cordoba,-31.4135,-64.1811,54.45,43,0,9.04,AR,clear sky
54,hithadhoo,-0.6,73.0833,83.34,73,14,18.72,MV,few clouds
55,medicine hat,50.0501,-110.6683,75.85,21,5,5.01,CA,clear sky
56,barrow,71.2906,-156.7887,33.82,75,90,16.11,US,overcast clouds
57,sibolga,1.7427,98.7792,75.42,89,72,3.09,ID,broken clouds
58,port shepstone,-30.7414,30.455,60.55,71,52,4.38,ZA,light rain
59,new bern,35.1085,-77.0441,61.11,86,90,9.22,US,overcast clouds
60,narimanov,46.6927,47.8498,66.11,73,61,10.96,RU,broken clouds
61,marataizes,-21.0433,-40.8244,73.74,91,99,2.3,BR,overcast clouds
62,mar del plata,-38.0023,-57.5575,51.13,55,0,3.0,AR,clear sky
63,arraial do cabo,-22.9661,-42.0278,75.06,83,75,5.75,BR,broken clouds
64,pontalina,-17.525,-49.4472,77.0,43,97,0.76,BR,overcast clouds
65,owase,34.0667,136.2,67.64,58,0,2.28,JP,clear sky
66,broken hill,-31.95,141.4333,45.05,34,6,8.05,AU,clear sky
67,sitka,57.0531,-135.33,57.09,62,90,6.91,US,overcast clouds
68,sault sainte marie,46.5168,-84.3333,68.29,24,1,8.05,CA,clear sky
69,baiyin,36.5583,104.2081,63.48,41,61,6.82,CN,broken clouds
70,la ronge,55.1001,-105.2842,62.17,34,38,4.34,CA,scattered clouds
71,qasigiannguit,68.8193,-51.1922,37.65,78,40,9.6,GL,scattered clouds
72,san pedro,14.35,121.0167,81.63,88,40,2.51,PH,scattered clouds
73,harper,4.375,-7.7169,78.53,88,100,9.55,LR,moderate rain
74,otjimbingwe,-22.35,16.1333,62.49,38,3,1.57,NA,clear sky
75,iqaluit,63.7506,-68.5145,40.69,75,100,4.0,CA,overcast clouds
76,pontianak,-0.0333,109.3333,75.18,100,90,1.9,ID,light rain
77,johi,26.6921,67.6133,93.99,39,0,14.38,PK,clear sky
78,dingle,10.9995,122.6711,78.84,88,80,1.25,PH,broken clouds
79,north bend,43.4065,-124.2243,83.95,73,97,12.15,US,overcast clouds
80,machala,-3.2667,-79.9667,75.51,76,41,7.4,EC,scattered clouds
81,tasiilaq,65.6145,-37.6368,39.36,92,100,8.25,GL,overcast clouds
82,hilo,19.7297,-155.09,83.93,72,40,18.41,US,scattered clouds
83,ajdabiya,30.7554,20.2263,76.78,36,0,10.94,LY,clear sky
84,casambalangan,18.3765,122.1274,81.05,83,40,5.35,PH,scattered clouds
85,norman wells,65.282,-126.8329,54.95,52,65,10.58,CA,broken clouds
86,leshukonskoye,64.8989,45.7622,34.61,79,69,4.7,RU,broken clouds
87,kaitangata,-46.2817,169.8464,50.29,93,100,6.6,NZ,overcast clouds
88,meadow lake,34.8014,-106.5436,76.44,20,77,6.69,US,broken clouds
89,vila velha,-20.3297,-40.2925,76.95,87,0,5.01,BR,clear sky
90,bredasdorp,-34.5322,20.0403,51.53,80,78,3.47,ZA,broken clouds
91,bluff,-46.6,168.3333,49.8,91,100,22.37,NZ,overcast clouds
92,gewane,10.1664,40.6453,87.6,21,15,4.94,ET,few clouds
93,aleksandrovka,46.8383,32.7612,59.68,78,88,6.13,UA,overcast clouds
94,bandarban,22.1965,92.2262,75.51,95,52,2.28,BD,broken clouds
95,zyryanovsk,49.7386,84.2719,48.42,60,0,2.15,KZ,clear sky
96,avarua,-21.2078,-159.775,78.85,53,40,9.22,CK,scattered clouds
97,port alfred,-33.5906,26.891,57.4,67,97,11.16,ZA,overcast clouds
98,komsomolskiy,40.4272,71.7189,71.26,47,52,3.02,UZ,broken clouds
99,qui nhon,13.7667,109.2333,81.82,78,2,3.8,VN,clear sky
100,airai,-8.9266,125.4092,57.54,86,100,1.5,TL,overcast clouds
101,altay,47.8667,88.1167,56.12,21,2,5.61,CN,clear sky
