City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Yellowknife,CA,2021-05-24 19:46:20,62.456,-114.3525,42.33,38,1,5.01
1,Sai Buri,TH,2021-05-24 19:46:20,6.7013,101.6168,78.75,86,97,4.23
2,Saldanha,ZA,2021-05-24 19:46:20,-33.0117,17.9442,60.85,92,100,5.06
3,Tuktoyaktuk,CA,2021-05-24 19:46:21,69.4541,-133.0374,30.2,100,90,8.05
4,Provideniya,RU,2021-05-24 19:46:21,64.3833,-173.3,37.51,70,0,22.37
5,Tecoanapa,MX,2021-05-24 19:46:21,16.5167,-98.75,89.83,51,12,12.48
6,Cape Town,ZA,2021-05-24 19:45:03,-33.9258,18.4232,62.11,80,40,1.01
7,Tamandare,BR,2021-05-24 19:46:22,-8.7597,-35.1047,77.86,73,100,7.36
8,Taoudenni,ML,2021-05-24 19:46:22,22.6783,-3.9836,98.28,18,7,21.21
9,Maun,BW,2021-05-24 19:46:22,-19.9833,23.4167,60.76,51,0,5.75
10,Andrushivka,UA,2021-05-24 19:46:23,50.0229,29.0202,53.51,80,9,3.53
11,Vaini,TO,2021-05-24 19:46:23,-21.2,-175.2,71.76,88,75,2.3
12,Port Alfred,ZA,2021-05-24 19:46:23,-33.5906,26.891,73.09,40,100,13.02
13,Lata,PT,2021-05-24 19:46:23,40.1629,-8.3327,60.93,76,6,5.93
14,Constitucion,CL,2021-05-24 19:46:24,-35.3333,-72.4167,61.32,69,7,12.53
15,Carnarvon,AU,2021-05-24 19:46:24,-24.8667,113.6333,53.67,94,0,8.05
16,Nome,US,2021-05-24 19:43:01,64.5011,-165.4064,58.1,41,1,13.8
17,Rikitea,PF,2021-05-24 19:46:24,-23.1203,-134.9692,76.42,82,100,18.92
18,Ibanda,TZ,2021-05-24 19:46:25,-2.7974,32.4746,71.04,76,5,4.56
19,Necochea,AR,2021-05-24 19:46:25,-38.5473,-58.7368,64.04,56,5,18.99
20,Busselton,AU,2021-05-24 19:46:25,-33.65,115.3333,48.09,71,100,6.24
21,Ushuaia,AR,2021-05-24 19:46:26,-54.8,-68.3,33.46,93,75,18.41
22,Ponta Do Sol,PT,2021-05-24 19:43:36,32.6667,-17.1,68.72,77,42,5.1
23,Saint-Philippe,RE,2021-05-24 19:41:37,-21.3585,55.7679,71.19,79,94,15.35
24,Kavaratti,IN,2021-05-24 19:46:20,10.5669,72.642,84.0,75,93,12.24
25,Osmena,PH,2021-05-24 19:46:26,10.5208,119.9258,82.83,74,5,4.92
26,Porkhov,RU,2021-05-24 19:46:27,57.765,29.5561,48.09,96,7,4.9
27,Mataura,NZ,2021-05-24 19:46:27,-46.1927,168.8643,30.81,98,6,3.0
28,Butaritari,KI,2021-05-24 19:46:27,3.0707,172.7902,76.42,95,100,19.8
29,Tiksi,RU,2021-05-24 19:46:28,71.6872,128.8694,35.49,70,97,7.76
30,Port-Gentil,GA,2021-05-24 19:46:28,-0.7193,8.7815,82.36,83,75,13.8
31,Xinqing,CN,2021-05-24 19:46:28,48.2333,129.5,38.66,72,99,3.09
32,Avarua,CK,2021-05-24 19:46:29,-21.2078,-159.775,82.45,89,75,11.5
33,Siocon,PH,2021-05-24 19:46:29,7.7061,122.1353,78.93,84,74,3.65
34,Punta Arenas,CL,2021-05-24 19:46:17,-53.15,-70.9167,39.31,68,40,25.17
35,Upernavik,GL,2021-05-24 19:43:48,72.7868,-56.1549,33.35,79,57,6.42
36,Lappeenranta,FI,2021-05-24 19:41:54,61.0587,28.1887,48.25,76,0,4.61
37,Mahebourg,MU,2021-05-24 19:45:21,-20.4081,57.7,73.69,73,75,5.75
38,Raymondville,US,2021-05-24 19:46:30,26.4815,-97.7831,90.59,63,79,12.48
39,Xining,CN,2021-05-24 19:46:30,36.6167,101.7667,49.14,39,95,2.04
40,Albany,US,2021-05-24 19:46:30,42.6001,-73.9662,75.15,37,46,1.01
41,Narsaq,GL,2021-05-24 19:44:27,60.9167,-46.05,46.62,53,100,1.19
42,Georgetown,MY,2021-05-24 19:44:35,5.4112,100.3354,82.89,85,20,1.99
43,Norman Wells,CA,2021-05-24 19:46:31,65.282,-126.8329,48.24,71,20,14.97
44,Sabha,LY,2021-05-24 19:46:31,27.0377,14.4283,93.51,9,21,11.9
45,Esperance,AU,2021-05-24 19:46:31,-33.8667,121.9,49.84,58,100,21.9
46,Te Anau,NZ,2021-05-24 19:46:32,-45.4167,167.7167,31.53,91,16,1.03
47,Renqiu,CN,2021-05-24 19:46:32,38.6989,116.0936,57.04,20,0,1.86
48,Puerto Ayora,EC,2021-05-24 19:46:32,-0.7393,-90.3518,84.16,85,52,10.0
49,Ewo,CG,2021-05-24 19:46:33,-0.8725,14.8206,81.12,64,98,2.21
50,Saint Pete Beach,US,2021-05-24 19:46:33,27.7253,-82.7412,94.33,49,1,1.01
51,Ambanja,MG,2021-05-24 19:46:33,-13.6833,48.45,70.92,89,70,3.31
52,Barrow,US,2021-05-24 19:43:35,71.2906,-156.7887,28.42,86,90,14.97
53,Fortuna,US,2021-05-24 19:46:34,40.5982,-124.1573,75.18,61,20,4.0
54,Castro,BR,2021-05-24 19:46:34,-24.7911,-50.0119,53.87,65,88,3.36
55,Fukue,JP,2021-05-24 19:44:35,32.6881,128.8419,66.06,64,64,8.05
56,Mar Del Plata,AR,2021-05-24 19:45:50,-38.0023,-57.5575,63.12,55,0,14.0
57,Pitsunda,GE,2021-05-24 19:46:35,43.1592,40.3378,60.98,92,19,4.45
58,Meulaboh,ID,2021-05-24 19:46:35,4.1363,96.1285,77.41,91,69,3.33
59,Maniitsoq,GL,2021-05-24 19:46:35,65.4167,-52.9,31.53,91,100,14.97
60,Qaanaaq,GL,2021-05-24 19:44:14,77.484,-69.3632,33.49,74,0,6.11
61,Bluff,NZ,2021-05-24 19:46:36,-46.6,168.3333,38.71,81,6,9.33
62,Kidal,ML,2021-05-24 19:46:36,18.4411,1.4078,99.16,16,61,9.13
63,Mormugao,IN,2021-05-24 19:46:36,15.4,73.8,82.81,82,100,11.5
64,Vao,NC,2021-05-24 19:46:37,-22.6667,167.4833,71.17,61,7,21.39
65,Sobolevo,RU,2021-05-24 19:42:48,54.4299,31.8996,48.29,86,1,3.29
66,Lakatoro,VU,2021-05-24 19:46:37,-16.0999,167.4164,74.53,76,95,10.0
67,Oranjemund,NA,2021-05-24 19:46:37,-28.55,16.4333,63.7,68,100,1.25
68,Yulara,AU,2021-05-24 19:46:38,-25.2406,130.9889,62.44,82,90,8.05
69,Khatanga,RU,2021-05-24 19:46:38,71.9667,102.5,30.92,99,100,2.08
70,Moreira Sales,BR,2021-05-24 19:46:38,-24.0622,-53.0069,64.89,40,98,3.71
71,Balabac,PH,2021-05-24 19:46:39,7.9868,117.0645,80.28,78,99,4.61
